System	Total_Individuals	Individual_FP	YearRate	round	age	rrisk	crisk	erisk
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	7	57	0.9950236942162074	0.9608760768697402	0.039810446270340374
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	8	58	0.9950236942162074	0.9560944636909053	0.04478675205413292
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	9	59	0.9950236942162074	0.9513366452813882	0.049763057837925465
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	10	60	0.9950236942162074	0.9466025032311406	0.05473936362171802
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	11	61	0.9950236942162074	0.9418919197193589	0.05971566940551056
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	12	62	0.9950236942162074	0.937204777511552	0.06469197518930311
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	13	63	0.9950236942162074	0.9325409599566231	0.06966828097309566
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	14	64	0.9950236942162074	0.9279003509839675	0.0746445867568882
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	15	65	0.9950236942162074	0.9232828351005827	0.07962089254068075
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	16	66	0.9950236942162074	0.9186882973881954	0.0845971983244733
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	17	67	0.9950236942162074	0.9141166235003999	0.08957350410826584
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	18	68	0.9950236942162074	0.9095676996598139	0.09454980989205838
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	19	69	0.9950236942162074	0.9050414126552458	0.09952611567585093
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	20	70	0.9950236942162074	0.9005376498388776	0.10450242145964349
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	21	71	0.9950236942162074	0.8960562991234615	0.10947872724343603
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	22	72	0.9950236942162074	0.8915972489795296	0.11445503302722858
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	23	73	0.9950236942162074	0.8871603884326192	0.11943133881102112
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	24	74	0.9950236942162074	0.8827456070605103	0.12440764459481367
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	25	75	0.9950236942162074	0.8783527949904776	0.12938395037860623
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	26	76	0.9950236942162074	0.873981842896556	0.13436025616239877
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	27	77	0.9950236942162074	0.8696326419968202	0.13933656194619132
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	28	78	0.9950236942162074	0.8653050840506765	0.14431286772998386
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	29	79	0.9950236942162074	0.86099906135617	0.1492891735137764
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	0	50	0.9950507408387662	0.9950507408387662	0.004949259161233795
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	1	51	0.9950507408387662	0.9901259768437775	0.00989851832246759
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	2	52	0.9950507408387662	0.9852255867821078	0.014847777483701384
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	3	53	0.9950507408387662	0.9803494500208446	0.01979703664493518
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	4	54	0.9950507408387662	0.9754974465241184	0.024746295806168973
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	5	55	0.9950507408387662	0.9706694568501487	0.029695554967402768
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	6	56	0.9950507408387662	0.9658653621483033	0.03464481412863656
